organism	study	n_ribo	n_rna
Arabidopsis thaliana	GSE50597	6	4
Arabidopsis thaliana	GSE43703	4	4
Arabidopsis thaliana	GSE109122	4	4
Arabidopsis thaliana	GSE132441	3	3
Caenorhabditis elegans	GSE48140	6	6
Homo sapiens	GSE69602	70	46
Homo sapiens	GSE56924	48	48
Homo sapiens	GSE100007	30	22
Homo sapiens	GSE65885	26	10
Homo sapiens	GSE64962	20	22
Homo sapiens	GSE123018	20	20
Homo sapiens	GSE112705	20	20
Homo sapiens	GSE105082	13	11
Homo sapiens	GSE123564	10	12
Homo sapiens	GSE79664	9	9
Homo sapiens	GSE61375	9	2
Homo sapiens	GSE81802	8	4
Homo sapiens	GSE65778	8	8
Homo sapiens	GSE119615	8	2
Homo sapiens	GSE114636	8	4
Homo sapiens	GSE67902	6	6
Homo sapiens	GSE59821	6	6
Homo sapiens	GSE48933	6	4
Homo sapiens	GSE48785	6	6
Homo sapiens	GSE22004	6	6
Homo sapiens	GSE127713	6	6
Homo sapiens	GSE126385	6	6
Homo sapiens	GSE125086	6	6
Homo sapiens	GSE60426	5	11
Homo sapiens	PRJNA390535	4	4
Homo sapiens	GSE66810	4	4
Homo sapiens	GSE55195	4	4
Homo sapiens	GSE132725	4	4
Homo sapiens	GSE51584	3	3
Homo sapiens	GSE49994	3	3
Homo sapiens	GSE42006	3	3
Homo sapiens	PRJEB29208	2	2
Homo sapiens	GSE56148	2	2
Homo sapiens	GSE126298	2	4
Homo sapiens	GSE115647	2	1
Homo sapiens	GSE107169	2	12
Homo sapiens	GSE74365	1	2
Homo sapiens	GSE52809	1	1
Homo sapiens	GSE48603	1	1
Mus musculus	GSE73554	72	24
Mus musculus	GSE60426	33	30
Mus musculus	PRJNA484227	30	29
Mus musculus	GSE67305	24	24
Mus musculus	GSE116233	21	15
Mus musculus	GSE62148	18	15
Mus musculus	GSE124693	17	61
Mus musculus	GSE72064	16	18
Mus musculus	GSE106528	14	17
Mus musculus	GSE30839	13	5
Mus musculus	GSE112187	12	12
Mus musculus	GSE116221	11	11
Mus musculus	GSE102659	10	19
Mus musculus	GSE58423	8	8
Mus musculus	GSE119365	8	13
Mus musculus	GSE112502	8	8
Mus musculus	PRJEB29208	6	6
Mus musculus	GSE71333	6	6
Mus musculus	GSE114064	6	8
Mus musculus	PRJNA380970	4	2
Mus musculus	GSE131536	4	4
Mus musculus	GSE119681	4	4
Mus musculus	GSE114741	4	8
Mus musculus	GSE80156	3	1
Mus musculus	GSE51619	3	3
Mus musculus	GSE41785	3	10
Mus musculus	GSE52809	2	2
Mus musculus	GSE22004	2	2
